Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Never married,Estimate; Male: - Now married:,Estimate; Male: - Divorced,Estimate; Female:,Estimate; Female: - Never married,Estimate; Female: - Now married:,Estimate; Female: - Divorced,% of population 15+ that are divorced,% of Pop 15+ Now Married,,per_below_pov
"Jersey City city, New Jersey",216396,108063,53548,47247,5642,108333,43218,47492,9313,6.910941053,43.78038411,44.71709274,28.2
"Newark city, New Jersey",227231,110634,61350,39802,6589,116597,61446,36581,10602,7.565429013,33.61469166,54.04016177,31.6
"Passaic city, New Jersey",50543,24811,11374,11408,1633,25732,11049,10922,2236,7.654868132,44.180203,44.36420474,28.5
"Paterson city, New Jersey",116147,55175,29732,20048,4375,60972,29377,21354,5056,8.119882563,35.64620696,50.89154261,27.8
"Trenton city, New Jersey",65435,34360,18723,12404,2563,31075,13816,11472,2850,8.272331321,36.48811798,49.72721021,17.3
"Union City city, New Jersey",57066,26841,13044,10949,2400,30225,12384,11731,4354,11.83541864,39.74345495,44.55893176,17.1
"Albuquerque city, New Mexico",451881,217949,89147,97137,26058,233932,78783,99247,37066,13.96916445,43.45922931,37.16243878,25.9
"Las Cruces city, New Mexico",81790,40341,19043,15946,3922,41449,13851,17378,6694,12.97958186,40.74336716,40.21763052,13.6
"Rio Rancho city, New Mexico",77920,36793,11181,20912,3645,41127,10651,20350,6480,12.99409651,52.95431211,28.01848049,14.3
"Santa Fe city, New Mexico",71319,33054,13208,14475,4949,38265,13333,13949,8042,18.21534234,39.85473717,37.21448702,23.9
"Albany city, New York",82818,39538,22550,12294,3683,43280,23172,12129,3981,9.254026902,29.48996595,55.20780507,30.5
"Buffalo city, New York",208078,96807,53834,32000,8374,111271,56997,33319,10826,9.22730899,31.39159354,53.26416056,16.9
"Mount Vernon city, New York",55278,24566,11020,10252,2548,30712,13064,10868,3860,11.59231521,38.20688158,43.56887007,12.5
"New Rochelle city, New York",66718,32272,13399,15702,2561,34446,13477,15381,3284,8.760754219,46.58862676,40.2829821,18.9
"New York city, New York",7019172,3299818,1536543,1484115,202815,3719354,1584063,1493279,339010,7.719215315,42.41802309,44.45832073,32.3
"Rochester city, New York",167873,79455,45298,22738,9225,88418,49732,22185,11271,12.2092296,26.76011032,56.60826935,17.2
"Schenectady city, New York",52677,25382,12178,9533,3025,27295,12130,9153,2964,11.3692883,35.47278698,46.14537654,32.1
"Syracuse city, New York",118843,55082,31213,17928,4894,63761,32341,18609,6833,9.8676405,30.74392265,53.47727674,15.5
"Yonkers city, New York",167024,79384,32697,37880,6012,87640,31861,39769,9298,9.166347351,46.48972603,38.65193026,15.6
"Asheville city, North Carolina",76980,35864,17863,14187,3208,41116,16256,14790,6907,13.13977657,37.64224474,44.32190179,4.4
"Cary town, North Carolina",128503,62649,15224,41581,5130,65854,12376,41798,7411,9.75930523,64.8848665,21.47809779,13.4
"Charlotte city, North Carolina",669928,316060,136044,150051,25137,353868,135960,153554,42264,10.06093192,45.31904921,40.60197514,15.5
"Concord city, North Carolina",70537,32581,9949,18541,3526,37956,10821,18604,4059,10.75322171,52.66030594,29.44553922,17.1
"Durham city, North Carolina",212219,97816,44928,43839,7712,114403,48172,45732,13296,9.899207894,42.2068712,43.86977603,20.5
"Fayetteville city, North Carolina",163344,79215,32506,37210,7342,84129,28607,34530,13153,12.54713978,43.91958076,37.41367911,18.3
"Gastonia city, North Carolina",60109,26902,9171,13984,3030,33207,10318,14969,5431,14.07609509,48.16749572,32.42276531,22.8
"Greensboro city, North Carolina",233182,105495,44929,48409,9239,127687,53825,45541,17857,11.6201079,40.29041693,42.35061025,30.3
"Greenville city, North Carolina",76449,34388,18731,12484,3046,42061,23621,12400,3959,9.162971393,32.54980444,55.39902419,20.2
"High Point city, North Carolina",92051,41843,16880,18005,5627,50208,18218,20359,7615,14.38550369,41.6768965,38.12886335,12.1
"Raleigh city, North Carolina",380882,180318,80658,82650,14217,200564,82420,81070,26550,10.70331494,42.98444138,42.81588523,24.7
"Wilmington city, North Carolina",99887,46599,22225,18675,4292,53288,22423,20133,6859,11.16361488,38.85190265,44.69850932,21.8
"Winston-Salem city, North Carolina",194367,89432,36935,42898,6802,104935,38107,44826,12328,9.842205724,45.1331759,38.60840575,13.8
"Fargo city, North Dakota",98823,51209,24466,21300,4750,47614,18001,21971,3509,8.3573662,43.78636552,42.97278974,23.7
"Akron city, Ohio",162082,76184,35091,29248,10032,85898,35665,30155,11711,13.41481472,36.6499673,43.65444651,31.5
"Canton city, Ohio",57658,27444,12959,9896,3595,30214,10596,10774,5697,16.11571681,35.84931839,40.85296056,26
"Cincinnati city, Ohio",240867,113148,61326,38029,11529,127719,63418,38315,15758,11.32865855,31.69550001,51.78957682,35
"Cleveland city, Ohio",314267,151605,83301,44081,19572,162662,77295,46397,23303,13.64285782,28.79016887,51.10177015,21
"Columbus city, Ohio",692215,335424,159959,132017,38659,356791,152824,130770,51599,13.03901245,37.96320507,45.18581655,32
"Dayton city, Ohio",115488,55877,29918,16652,7346,59611,27427,17637,9209,14.33482267,29.69053062,49.65450956,8.6
"Parma city, Ohio",66883,32115,10842,16713,3516,34768,9899,16254,4200,11.53656385,49.29055216,31.01086973,26.3
"Toledo city, Ohio",224304,107456,46436,38680,18728,116848,45062,39599,21296,17.84364077,34.89861973,40.79196091,35.2
"Youngstown city, Ohio",53659,25254,13320,6997,3867,28405,13096,7396,4639,15.85195401,26.82308653,49.22939302,8.6
"Broken Arrow city, Oklahoma",87387,41974,11150,26028,3889,45413,9989,26438,5602,10.8608832,60.03867852,24.19009693,10.6
"Edmond city, Oklahoma",70255,33147,10671,19544,2228,37108,10339,20187,4019,8.891893815,56.55255854,29.90534482,17.5
"Lawton city, Oklahoma",75338,39145,15465,16831,5131,36193,10585,16428,6091,14.89553744,44.14638031,34.57750405,19.5
"Norman city, Oklahoma",104699,51640,24497,21908,4495,53059,20841,22515,6508,10.50917392,42.42924956,43.30318341,16.8
"Oklahoma City city, Oklahoma",498851,242280,89222,118386,28602,256571,80211,121782,34580,12.66550533,48.14423545,33.96465077,20.5
"Tulsa city, Oklahoma",317144,151996,58322,69380,20380,165148,52056,70908,27746,15.17481018,44.23479555,34.80374845,9.6
"Beaverton city, Oregon",83808,41143,16068,20705,3679,42665,12240,20375,7091,12.85080183,49.01680031,33.77720504,10.4
"Bend city, Oregon",76086,36850,12822,18762,4597,39236,10484,18275,6638,14.76618563,48.67781195,30.63112793,21.6
"Eugene city, Oregon",143675,70397,32103,29001,7802,73278,29276,28927,9408,11.97842353,40.31877501,42.72072386,15.6
"Gresham city, Oregon",90259,44129,17037,21627,4464,46130,13824,21851,6198,11.81267242,48.17026557,34.19160416,10.4
"Hillsboro city, Oregon",81767,40458,13270,23127,3520,41309,11461,23035,4323,9.591889148,56.4555383,30.24569814,13.3
"Medford city, Oregon",65353,32011,10127,16101,4149,33342,7557,16489,6008,15.54175019,49.86764188,27.05920157,14.7
"Portland city, Oregon",540420,267206,119553,114766,29154,273214,103708,112770,40218,12.83668258,42.10354909,41.31249769,14.9
"Salem city, Oregon",136501,65901,25884,31091,7096,70600,21277,30511,12190,14.12883422,45.12933971,34.54993004,30.2
"Allentown city, Pennsylvania",92175,43316,22478,14910,4794,48859,22654,15656,5863,11.56170328,33.16083537,48.96338487,18.1
"Bethlehem city, Pennsylvania",64528,31387,14454,12166,3308,33141,13652,12442,4292,11.77783288,38.13538309,43.55628564,27.3
"Erie city, Pennsylvania",78664,37527,16768,14533,4570,41137,17960,14029,5202,12.422455,36.30885793,44.14725923,25.7
"Philadelphia city, Pennsylvania",1275409,594382,323946,206818,46771,681027,335884,214480,67809,8.983784809,33.03238412,51.73477684,19.2
"Pittsburgh city, Pennsylvania",264630,129990,71860,43995,10946,134640,65247,41877,15082,9.835619544,32.44983562,51.81083022,36.8
"Reading city, Pennsylvania",67129,32889,17439,10226,4633,34240,15400,11814,4590,13.73921852,32.83230794,48.91924504,24.5
"Scranton city, Pennsylvania",64020,31562,14381,12586,2859,32458,12970,12776,3364,9.720399875,39.61574508,42.72258669,6
"Cranston city, Rhode Island",69281,34356,14636,15109,3457,34925,12627,14822,4270,11.15313001,43.20232098,39.35133731,15.6
"Pawtucket city, Rhode Island",59259,30224,13754,11710,4234,29035,10561,11563,4505,14.74712702,39.27335932,41.03174201,24.7
"Providence city, Rhode Island",144822,69425,39590,23251,6150,75397,38924,25083,6891,9.00484733,33.3747635,54.21413874,8.6
"Warwick city, Rhode Island",70718,32613,10627,15688,4540,38105,11331,16969,5698,14.47721938,46.17919059,31.05008626,15.2
"Charleston city, South Carolina",119257,55593,25781,23756,4141,63664,27351,25190,6481,8.906814694,41.04245453,44.55252103,19.9
"Columbia city, South Carolina",116434,60654,37644,16675,5562,55780,29017,17113,5617,9.601147431,29.01901506,57.2521772,4.2
"Mount Pleasant town, South Carolina",65597,31293,9313,18549,2866,34304,6843,20353,4526,11.26880802,59.30454137,24.62917511,25.8
"North Charleston city, South Carolina",88954,43102,21102,15786,5131,45852,19875,15821,6107,12.63349596,35.53184792,46.06538211,20.4
"Rock Hill city, South Carolina",57556,27040,12025,11806,2324,30516,11395,12057,4373,11.63562444,41.46049065,40.69080548,18.2
"Rapid City city, South Dakota",59354,29001,10577,13634,4348,30353,10167,12900,4389,14.72015365,44.70465344,34.94962429,10.3
"Sioux Falls city, South Dakota",136182,67313,26716,33443,5454,68869,20443,33477,8165,10.00058745,49.14012131,34.62939302,20.2
"Chattanooga city, Tennessee",147287,68900,29587,27944,8599,78387,28993,28900,11376,13.56195727,38.59403749,39.7726887,14.8
"Clarksville city, Tennessee",115566,56183,18302,32031,5269,59383,15321,30631,9290,12.59799595,54.22182995,29.09419726,25.4
"Knoxville city, Tennessee",156851,73393,35903,25767,9469,83458,33709,29381,14127,15.04357639,35.15948257,44.38097303,26.9
"Memphis city, Tennessee",513457,239613,119430,88264,25284,273844,124741,90304,35469,11.83214953,34.77759579,47.55432295,13.2
"Murfreesboro city, Tennessee",106806,51677,22441,23864,3760,55129,22639,23306,5761,8.914293205,44.16418553,42.20736663,15.1
"Nashville-Davidson metropolitan government (balance), Tennessee",539163,256694,111212,111235,28358,282469,110345,114760,37140,12.1480888,41.91589556,41.09276786,19.6
"Abilene city, Texas",103140,53902,23729,24358,4814,49238,16298,21968,6762,11.2235796,44.91564863,38.80841575,3.7
"Allen city, Texas",79710,39853,12599,24683,2521,39857,8064,26405,3419,7.452013549,64.09233471,25.92271986,16.4
"Amarillo city, Texas",153030,73556,24331,39840,6855,79474,18916,42724,9768,10.86257597,53.95281971,28.2604718,15.9
"Arlington city, Texas",310003,150818,62864,72109,13268,159185,53576,72593,21829,11.32150334,46.6776128,37.56092683,13.5
"Austin city, Texas",772469,392783,186860,164146,36995,379686,153248,159698,47986,11.00121817,41.92323575,44.02869241,11.6
"Baytown city, Texas",58118,29497,10778,15093,2504,28621,9216,14379,3037,9.534051413,50.71062321,34.40242266,18.7
"Beaumont city, Texas",93417,44845,19068,19992,3879,48572,16336,20620,6501,11.11146793,43.47388591,37.8988835,28.6
"Brownsville city, Texas",138028,66038,23992,36134,3753,71990,22655,35722,6182,7.197814936,52.05900252,33.79531689,24.7
"Bryan city, Texas",66171,34042,16370,14827,2167,32129,12162,13957,3465,8.511281377,43.49941817,43.11858669,10
"Carrollton city, Texas",108206,51823,19584,28080,3226,56383,16568,28253,6812,9.276749903,52.06088387,33.41034693,31.1
"College Station city, Texas",96068,48453,31267,15960,1044,47615,28177,15459,3271,4.49161011,32.70495899,61.87700379,14.1
"Corpus Christi city, Texas",258970,126873,48077,61540,13728,132097,42369,61904,16558,11.6947909,47.66729737,34.92528092,19.4
"Dallas city, Texas",1034002,509660,227347,225807,46891,524342,202857,226449,59573,10.29630504,43.7384067,41.60572223,18.7
"Denton city, Texas",110445,51639,24590,21154,4431,58806,27812,20567,6636,10.02037213,37.7753633,47.44624021,27.6
"Edinburg city, Texas",61385,28849,11725,14986,1577,32536,11731,15291,3948,9.000570172,49.32312454,38.2112894,22.1
"El Paso city, Texas",527231,254829,103813,123165,21587,272402,89867,123402,33677,10.48193297,46.76640789,36.73532095,17.5
"Fort Worth city, Texas",648339,315559,120888,155800,30464,332780,111882,159653,41589,11.11347613,48.65556445,35.90251396,4.3
"Frisco city, Texas",120155,56860,12373,40129,2991,63295,14227,40194,6625,8.00299613,66.84948608,22.13807166,13.8
"Garland city, Texas",179512,86925,31292,47322,7075,92587,27907,47773,10804,9.959779848,52.97417443,32.97773965,10.3
"Grand Prairie city, Texas",144932,71453,25385,38069,6242,73479,20653,38755,9529,10.88165485,53.00692739,31.76524163,20.8
"Houston city, Texas",1810748,902978,398004,411213,74194,907770,343024,397842,100965,9.673295235,44.68070654,40.9238613,13.2
"Irving city, Texas",185577,90693,36455,46156,6462,94884,31094,45940,12085,9.994234199,49.62683953,36.39944605,13
"Killeen city, Texas",105315,50931,17049,28200,3961,54384,15647,29265,6807,10.2245644,54.5648768,31.04590989,32.4
"Laredo city, Texas",184763,88660,34258,46998,5368,96103,32835,47729,8658,7.591346752,51.26946412,36.31300639,4.3
"League City city, Texas",80387,39583,13090,23689,2220,40804,9034,24055,4431,8.273725851,59.39268787,27.52186299,12.1
"Lewisville city, Texas",81994,39552,14293,21262,3370,42442,13506,20934,5459,10.76786106,51.46230212,33.90370027,18.7
"Longview city, Texas",64321,32102,11915,16012,2915,32219,7625,14503,5712,13.41241585,47.44173754,30.37888093,20.4
"Lubbock city, Texas",202802,100708,46414,41908,10073,102094,37441,43414,13220,11.48558693,42.0715772,41.34821156,26.7
"McAllen city, Texas",106582,50091,18961,26401,3494,56491,17116,27098,7300,10.12741363,50.1951549,33.84905519,8.1
"McKinney city, Texas",130702,64332,20274,40127,3481,66370,14222,40235,7332,8.27301801,61.48490459,26.39286315,15.5
"Mesquite city, Texas",108185,49102,17269,25725,4508,59083,20518,26189,7800,11.37680825,47.98631973,34.92813237,9.6
"Midland city, Texas",102249,50872,17181,25737,6722,51377,13186,26875,6964,13.38497198,51.45478195,29.69906796,22
"Mission city, Texas",59280,29684,11107,15087,2226,29596,7699,15332,4727,11.72908232,51.31410256,31.72402159,12.2
"Odessa city, Texas",89955,44613,16363,20854,6418,45342,15610,20888,4840,12.51514646,46.4032016,35.54332722,17.7
"Pasadena city, Texas",115346,54895,19994,28132,5882,60451,21018,27502,7622,11.70738474,48.23227507,35.55563262,4.4
"Pearland city, Texas",91192,42866,11180,28661,2677,48326,13219,27478,4414,7.775901395,61.56132117,26.75563646,6.7
"Plano city, Texas",232844,113889,35054,68605,8339,118955,31169,67399,13071,9.194997509,58.40992252,28.44093041,9.4
"Richardson city, Texas",89132,44353,15050,24251,3453,44779,11748,24399,5502,10.04689674,54.58196832,30.0655208,7.3
"Round Rock city, Texas",96344,46735,17774,24637,3733,49609,15383,24312,7608,11.77136096,50.8064851,34.41522046,12.7
"San Angelo city, Texas",82770,40701,16129,19343,3842,42069,12898,18759,6625,12.64588619,46.03358705,35.06946961,18.5
"San Antonio city, Texas",1177078,574189,240657,261804,57945,602889,213582,258333,84513,12.10268139,44.18883031,38.59039078,5.7
"Sugar Land city, Texas",71991,35241,9584,22952,2286,36750,8051,23125,2940,7.259240738,64.00383381,24.49611757,21.7
"Tyler city, Texas",81332,38041,14409,18240,4839,43291,13310,17876,6773,14.27728323,44.40564599,34.08129641,25.9
"Waco city, Texas",108478,52270,25004,20816,5084,56208,21998,20676,8492,12.51498,38.24923026,43.32860119,19.2
"Wichita Falls city, Texas",84731,44995,19917,19346,4777,39736,12280,18326,4778,11.27686443,44.46070505,37.99907944,7.4
"Layton city, Utah",54750,27007,8019,17638,1054,27743,6048,17148,3034,7.466666667,63.53607306,25.69315068,17.6
"Ogden city, Utah",65032,32595,13016,15070,4038,32437,9540,15090,5842,15.19252061,46.37716816,34.68446303,11.9
"Orem city, Utah",72583,36228,12125,21625,1901,36355,10232,20766,3283,7.142168276,58.40348291,30.80197842,26.4
"Provo city, Utah",96099,47767,24875,20733,1623,48332,24564,20553,2030,3.801288255,42.96194549,51.44590474,14.2
"St. George city, Utah",64786,30851,11021,17221,1660,33935,9748,17621,3489,7.947704751,53.78013768,32.05785201,16.1
"Salt Lake City city, Utah",158840,83564,38730,34616,9066,75276,28582,32947,8615,11.13132712,42.5352556,42.37723495,4.2
"Sandy city, Utah",75136,36510,10085,21999,3543,38626,9202,22690,4706,10.97875852,59.47748083,25.66945273,3.3
"West Jordan city, Utah",83688,43112,15524,23753,3226,40576,10270,22993,5600,10.54631488,55.85747061,30.82162317,10.3
"West Valley City city, Utah",99770,50993,18806,25969,5481,48777,13718,25898,5594,11.10053122,51.98656911,32.59897765,12.5
"Alexandria city, Virginia",130285,62074,25656,29748,5415,68211,28937,28582,7376,9.817707334,44.77107879,41.90275166,8
"Chesapeake city, Virginia",191122,91726,33869,47862,7414,99396,27527,50824,12663,10.50480845,51.63508126,32.12398363,17.4
"Hampton city, Virginia",111380,52469,23502,20610,6389,58911,20529,21814,10614,15.26575687,38.08942359,39.532232,14.6
"Lynchburg city, Virginia",67916,30862,15444,10639,3009,37054,19032,11947,3708,9.890158431,33.25578656,50.76270687,13.4
"Newport News city, Virginia",146248,70683,31129,31109,6973,75565,27173,32123,10287,11.80187079,43.23614682,39.86516055,19.9
"Norfolk city, Virginia",202253,105915,53207,40332,10324,96338,40367,36755,12105,11.08957593,38.11414417,46.26581559,17
"Portsmouth city, Virginia",76176,35905,16339,14602,3737,40271,16095,14430,5305,11.86988028,38.11174123,42.57771477,26.8
"Richmond city, Virginia",188768,88699,48186,26971,10432,100069,51880,27182,13490,12.67269876,28.68759536,53.01004408,24.5
"Roanoke city, Virginia",80643,37681,15722,16403,4841,42962,13539,18155,7141,14.8580782,42.85306846,36.28461243,11.3
"Suffolk city, Virginia",70964,34169,10028,19149,4106,36795,10415,19057,4523,12.1596866,53.83856603,28.8075644,7.9
"Virginia Beach city, Virginia",367636,179011,63688,96037,15859,188625,53009,95855,25390,11.2200655,52.19619406,31.74253882,10.7
"Auburn city, Washington",58494,28147,10042,14214,3311,30347,8540,13920,6009,15.93325811,48.09724074,31.76736075,5.9
"Bellevue city, Washington",116289,58012,18475,35750,2854,58277,13907,34734,5932,7.555314776,60.61106382,27.84614194,22.5
"Bellingham city, Washington",74862,36498,20056,13191,2783,38364,17834,13471,4878,10.2334963,35.61486468,50.61312816,16.3
"Everett city, Washington",90067,47645,20178,18801,7681,42422,14078,17509,7479,16.83191402,40.31443259,38.03390809,13.8
"Federal Way city, Washington",76235,35824,12627,19470,2962,40411,13201,19257,4922,10.34170657,50.79950154,33.8794517,12.6
"Kennewick city, Washington",60663,30306,12966,14442,2279,30357,8275,13844,3910,10.20226497,46.62809291,35.01475364,14
"Kent city, Washington",101986,51482,20679,24855,4961,50504,16447,23460,6096,10.84168415,47.37414939,36.40303571,10.5
"Renton city, Washington",81924,39785,16127,19238,3799,42139,14735,18451,5907,11.84756604,46.00483375,37.67150042,11.5
"Seattle city, Washington",612568,306847,145496,131530,24705,305721,126671,127909,33824,9.554694336,42.35268574,44.43049588,17.7
"Spokane city, Washington",173715,83075,32472,38504,9948,90640,26923,37312,17899,16.03027948,43.64389949,34.19106007,11
"Spokane Valley city, Washington",78909,39335,13241,20282,4600,39574,9598,19638,5682,13.03019934,50.58992003,28.94346652,16.3
"Tacoma city, Washington",169821,84833,35247,36621,11149,84988,28576,35850,13401,14.45639821,42.6749342,37.58251335,12.4
"Vancouver city, Washington",140704,67105,22425,35232,8245,73599,19609,35165,10862,13.5795713,50.03198203,29.87406186,22.6
"Yakima city, Washington",70087,34698,13966,15620,4184,35389,11123,15822,5129,13.28777091,44.86138656,35.79693809,13.7
"Appleton city, Wisconsin",58542,28721,10802,14854,2226,29821,8564,15375,3855,10.38741416,51.63643196,33.08052338,15.6
"Green Bay city, Wisconsin",84338,41757,18752,16840,5129,42581,16302,18129,5253,12.30999075,41.462923,41.56370794,18.9
"Kenosha city, Wisconsin",78722,38234,15289,17328,4449,40488,12192,18937,6055,13.34315693,46.06717309,34.90892,16.9
"Madison city, Wisconsin",217908,106733,55196,41947,8047,111175,52188,42585,11013,8.746810581,38.79251794,49.27951245,26.7
"Milwaukee city, Wisconsin",462887,219475,122862,71542,20410,243412,126249,71269,30114,10.91497493,30.85223824,53.81680626,23.9
"Racine city, Wisconsin",60037,29372,12432,12479,3696,30665,12098,11903,4178,13.1152456,40.61162283,40.85813748,12.7
"Waukesha city, Wisconsin",59038,27573,10915,13549,2633,31465,11331,13556,4089,11.38588706,45.9111081,37.68081575,0